description,description_link,country,project_title,notice_type,language,publish_date,project_link
"Selection of an Implementing Agency (IA) for“ Design, Development, and Implementation of Integrated Process Management System” for Water Resources Department, Government Of Assam",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00333425,India,Assam Integrated River Basin Management Program - P174593,Request for Expression of Interest,English,"February 23, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P174593
"Construction of Garowe Storm Water Drainage Package 3 (Lot 2 - Part 1) Garowe Municipality, Puntaland, Somalia",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00337019,Somalia,Somalia Urban Resilience Project II - P170922,Invitation for Bids,English,"February 23, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P170922
Procurement of Short Term Individual consultant- Programme manager for National Performance based programme,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00339453,Kenya,Water and Sanitation Development Project - P156634,Contract Award,English,"February 23, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P156634
"Devices, supplies and equipment for Veterinary center in north",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00341358,Jordan,"Agriculture Resilience, Value Chain Development and Innovation (ARDI) Program - P167946",Contract Award,English,"February 23, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P167946
"Devices, supplies and equipment for Veterinary center in north",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00341359,Jordan,"Agriculture Resilience, Value Chain Development and Innovation (ARDI) Program - P167946",Contract Award,English,"February 23, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P167946
"Devices, supplies and equipment for Veterinary center in north",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00341360,Jordan,"Agriculture Resilience, Value Chain Development and Innovation (ARDI) Program - P167946",Contract Award,English,"February 23, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P167946
CONSULTANCY FOR DESIGN REVIEW AND SUPERVISION FOR REHABILITATION OF BONA DYKE IN PHALOMBE DISTRICT AND MKOMBEZI DYKE IN CHIKWAWA DISTRICT,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00341365,Eastern and Southern Africa,Regional Climate Resilience Program for Eastern and Southern Africa 2 Project (RCRP2) - P181308,Request for Expression of Interest,English,"February 23, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P181308
Hiring of international implementation partners for HAI program in Sindh,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00341366,Pakistan,Sindh Water and Agriculture Transformation Project (SWAT) - P167596,Contract Award,English,"February 23, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P167596
"Procurement of 500,000 polyethylene Bags for the Production of fruit trees for Subprojects",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00341367,Eastern and Southern Africa,Agricultural Productivity Program for Southern Africa - Angola & Lesotho - P164486,Contract Award,English,"February 23, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P164486
"Devices, supplies and equipment for Veterinary center in north",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00341368,Jordan,"Agriculture Resilience, Value Chain Development and Innovation (ARDI) Program - P167946",Contract Award,English,"February 23, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P167946
Database Building and Networking Engineer,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00341369,"Egypt, Arab Republic of",Takaful and Karama Cash Transfer Expansion and Systems Building Project - P179665,Contract Award,English,"February 23, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P179665
Especialista em Salvaguardas Socias,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00341370,Angola,Angola Digital Acceleration Project - P180693,Contract Award,Portuguese,"February 23, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P180693
Development of the National Export Promotion Strategy,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00341377,Eastern and Southern Africa,"De-risking, inclusion and value enhancement of pastoral economies in the Horn of Africa - P176517",Contract Award,English,"February 23, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P176517
Procurement of Day old chickens for Poultry Production or GBEs at arbegona woreda Yaye 01 kebele,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00341378,Eastern and Southern Africa,Food Systems Resilience Program for Eastern and Southern Africa - P178566,Contract Award,English,"February 23, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P178566
"HIRING OF MANAGER ADMIN & ACCOUNTS, (NATIONAL INDIVIDUAL CONSULTANT) FOR PCMU.",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00341379,Pakistan,Sindh Water and Agriculture Transformation Project (SWAT) - P167596,Request for Expression of Interest,English,"February 23, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P167596
